"SampleDate","Survey","MethodCode","StationCode","SubRegion","SpecificConductance","WaterTemp","Turbidity_NTU","Turbidity_FNU","ForkLength","LifeStage","Latitude","Longitude","SpecialStudy","SpecialStudyID","Preservation","Disposition","MarkCode","ReleaseEvent","Comments","dist_km","FirstDayRelease","Location","~Days post hatch","Release Method","Adipose Fin Clipped","VIE Tagged","VIE Color and Position","Total","Tag","ReleaseLatitude","ReleaseLongitude","DaySinceRelease","swim_speed"
2022-12-14,"FCCL Broodstock","Lampara Net","Sherman Island","San Joaquin River near Stockton",NA,10.1,NA,NA,"60","Adult",38.063022,-121.798127,"FCCL Broodstock","WY23_FCCL_01","None","FCCL, not archived","VIE-Left/Red/Anterior Dorsal","BY20221b","Fork Length and catch location approximate. Salinity 1.6 ppt. Fish was captured in shallow water by the tules. Weather was sunny, wind and water conditions were calm.",8.50209517189479,2022-11-30,"Sacramento River at Rio Vista",">200","Hard Release","~0%","~100%","Left Side. Red. Anterior Dorsal",6556,"LRA",38.10478,-121.72285,14,0.607292512278199
2023-01-07,"TFCF","Salvage","NA","Salvage",NA,10.5,NA,NA,"74","Adult",37.816984,-121.556881,"Directed Outflow Project","WY23_S405","95% Ethanol","UC Davis Aquatic Health Lab","VIE-Left/Red/Anterior Dorsal","BY20221b",NA,47.250136666712,2022-11-30,"Sacramento River at Rio Vista",">200","Hard Release","~0%","~100%","Left Side. Red. Anterior Dorsal",6556,"LRA",38.10478,-121.72285,38,1.243424649124
2023-01-19,"USFWS Chipps","Midwater Trawl","SB018N","Confluence",150.7,9.7,179,NA,"68","Adult",38.047967,-121.909917,"Directed Outflow Project","WY23_S017","Liquid nitrogen","UC Davis Aquatic Health Lab","VIE-Right/Orange/Posterior Dorsal","BY20222a",NA,23.1873348191697,2023-01-18,"Sacramento River at Rio Vista",">200","Hard Release","~0%","~100%","Right Side. Orange. Posterior Dorsal",14524,"ROP",38.13336,-121.69544,1,23.1873348191697
2023-01-24,"USFWS EDSM","Kodiak Trawl","23-26-SB05","Mid Suisun Bay",281,8.6,227,NA,"47","Adult",38.09629,-122.05726,"FCCL Broodstock/Directed Outflow Project","WY23_S404","Frozen","UC Davis Aquatic Health Lab","AdClipped","BY20222b","Assumed to be BY2022 adclipped fish",38.8912065772205,2023-01-18,"Sacramento River at Rio Vista",">200","Trailer Release","~100%","~0%",NA,3046,"Ad-clipped",38.139755,-121.694683,6,6.48186776287008
2023-01-26,"USFWS EDSM","Kodiak Trawl","23-26-CS01","Cache Slough and Liberty Island",169.6,8.2,120,NA,"80","Adult",38.23983,-121.68525,"Directed Outflow Project","WY23_S209","Liquid nitrogen","UC Davis Aquatic Health Lab","VIE-Left/Orange/Anterior Dorsal","BY20223a",NA,2.50947034553519,2023-01-25,"Sacramento Deepwater Ship Channel",">200","Hard Release","~0%","~100%","Left Side. Orange. Anterior Dorsal",6755,"LOA",38.25625,-121.66811,1,2.50947034553519
2023-01-27,"USFWS EDSM","Kodiak Trawl","23-26-LSR04","Sacramento River near Rio Vista",155.3,8.4,83.3,NA,"56","Adult",38.10478,-121.69784,"Directed Outflow Project","WY23_S210","Liquid nitrogen","UC Davis Aquatic Health Lab","VIE-Right/Orange/Posterior Dorsal","BY20222a",NA,3.5042836728062,2023-01-18,"Sacramento River at Rio Vista",">200","Hard Release","~0%","~100%","Right Side. Orange. Posterior Dorsal",14524,"ROP",38.13336,-121.69544,9,0.389364852534022
2023-01-30,"USFWS EDSM","Kodiak Trawl","23-27-LSR02","Lower Sacramento River",216.9,8.4,67.5,34.78,"75","Adult",38.07868,-121.75566,"Directed Outflow Project","WY23_S211","Liquid nitrogen","UC Davis Aquatic Health Lab","VIE-Right/Green/Posterior Dorsal","BY20223b",NA,21.6171282690257,2023-01-24,"Sacramento Deepwater Ship Channel",">200","Soft Release","~0%","~100%","Right Side. Green. Posterior Dorsal",6240,"RGP",38.23577,-121.6744,6,3.60285471150428
2023-01-30,"USFWS EDSM","Kodiak Trawl","23-27-SB02","West Suisun Bay",6716,9.2,53.3,33.66,"65","Adult",38.05226,-122.07847,"Directed Outflow Project","WY23_S018","Liquid nitrogen","UC Davis Aquatic Health Lab","VIE-Right/Orange/Posterior Dorsal","BY20222a",NA,38.4899214220046,2023-01-18,"Sacramento River at Rio Vista",">200","Hard Release","~0%","~100%","Right Side. Orange. Posterior Dorsal",14524,"ROP",38.13336,-121.69544,12,3.20749345183372
2023-01-30,"USFWS EDSM","Kodiak Trawl","23-27-SB03","Mid Suisun Bay",1561,9,108,52.84,"76","Adult",38.09664,-122.05208,"Directed Outflow Project","WY23_S019","Liquid nitrogen","UC Davis Aquatic Health Lab","VIE-Left/Red/Anterior Dorsal","BY20221b",NA,33.5356391818544,2022-11-30,"Sacramento River at Rio Vista",">200","Hard Release","~0%","~100%","Left Side. Red. Anterior Dorsal",6556,"LRA",38.10478,-121.72285,61,0.549764576751712
2023-01-31,"USFWS EDSM","Kodiak Trawl","23-27-LSR01","Sacramento River near Rio Vista",228.1,8.1,57.6,30.57,"76","Adult",38.10221,-121.71818,"Directed Outflow Project","WY23_S212","Liquid nitrogen","UC Davis Aquatic Health Lab","VIE-Right/Green/Posterior Dorsal","BY20223b",NA,17.5879786433572,2023-01-24,"Sacramento Deepwater Ship Channel",">200","Soft Release","~0%","~100%","Right Side. Green. Posterior Dorsal",6240,"RGP",38.23577,-121.6744,7,2.51256837762245
2023-02-01,"USFWS EDSM","Kodiak Trawl","23-27-SSC01","Lower Sacramento River Ship Channel",713,8.2,70.9,34.62,"72","Adult",38.3832,-121.6252,"Directed Outflow Project","WY23_S213","Liquid nitrogen","UC Davis Aquatic Health Lab","VIE-Left/Orange/Anterior Dorsal","BY20223a",NA,15.6111600248596,2023-01-25,"Sacramento Deepwater Ship Channel",">200","Hard Release","~0%","~100%","Left Side. Orange. Anterior Dorsal",6755,"LOA",38.25625,-121.66811,7,2.23016571783709
2023-02-01,"USFWS EDSM","Kodiak Trawl","23-27-SSC03","Lower Sacramento River Ship Channel",420.1,8.1,196,82.27,"67","Adult",38.31241,-121.65271,"Directed Outflow Project","WY23_S215","Liquid nitrogen","UC Davis Aquatic Health Lab","VIE-Left/Orange/Anterior Dorsal","BY20223a",NA,6.77408759570196,2023-01-25,"Sacramento Deepwater Ship Channel",">200","Hard Release","~0%","~100%","Left Side. Orange. Anterior Dorsal",6755,"LOA",38.25625,-121.66811,7,0.967726799385994
2023-02-01,"USFWS EDSM","Kodiak Trawl","23-27-SSC03","Lower Sacramento River Ship Channel",420.1,8.1,196,82.27,"67","Adult",38.31241,-121.65271,"Directed Outflow Project","WY23_S216","Liquid nitrogen","UC Davis Aquatic Health Lab","VIE-Left/Orange/Anterior Dorsal","BY20223a",NA,6.77408759570196,2023-01-25,"Sacramento Deepwater Ship Channel",">200","Hard Release","~0%","~100%","Left Side. Orange. Anterior Dorsal",6755,"LOA",38.25625,-121.66811,7,0.967726799385994
2023-02-01,"USFWS EDSM","Kodiak Trawl","23-27-SSC03","Lower Sacramento River Ship Channel",448.9,8.2,185,60.18,"70","Adult",38.31136,-121.65266,"Directed Outflow Project","WY23_S214","Liquid nitrogen","UC Davis Aquatic Health Lab","VIE-Left/Orange/Anterior Dorsal","BY20223a",NA,6.67414712098249,2023-01-25,"Sacramento Deepwater Ship Channel",">200","Hard Release","~0%","~100%","Left Side. Orange. Anterior Dorsal",6755,"LOA",38.25625,-121.66811,7,0.953449588711784
2023-02-02,"USFWS EDSM","Kodiak Trawl","23-27-CS03","Cache Slough and Liberty Island",295.7,7.7,81.4,43.15,"60","Adult",38.24102,-121.68774,"Directed Outflow Project","WY23_S217","Liquid nitrogen","UC Davis Aquatic Health Lab","VIE-Left/Orange/Anterior Dorsal","BY20223a",NA,2.46733815225283,2023-01-25,"Sacramento Deepwater Ship Channel",">200","Hard Release","~0%","~100%","Left Side. Orange. Anterior Dorsal",6755,"LOA",38.25625,-121.66811,8,0.308417269031604
