"SampleDate","Survey","MethodCode","StationCode","SubRegion","SpecificConductance","WaterTemp","Turbidity_NTU","Turbidity_FNU","ForkLength","LifeStage","Latitude","Longitude","SpecialStudy","SpecialStudyID","Preservation","Disposition","MarkCode","ReleaseEvent","Comments","dist_km","Year","Event","FCCL_load_date","Date","Release Site ","Release methods ","Release tag ","Final_number_released","Status ","ReleaseLatitude","ReleaseLongitude","FirstDayRelease","DaySinceRelease","swim_speed"
2023-12-07,"USFWS EDSM","Kodiak Trawl","24-19-LSR05","Lower Sacramento River",2072,11.6,18.4,9.69,"63","Adult",38.08168,-121.75851,"Directed Outflow Project","WY24_S325","Liquid nitrogen","UC Davis Aquatic Health Lab","VIE-Left/Green/Anterior Dorsal","BY2023 LS1",NA,9.0863665833211,3,"LS1","11/15/2023 ","11/15/2023 ","Rio Vista ","Hard (large scale) ","Left/ green/ AD ","14,104 ","Completed ",38.1395626542722,-121.694184214615,2023-11-15,22,0.413016662878232
2024-01-16,"USFWS EDSM","Kodiak Trawl","24-25-LSR06","Lower Sacramento River",360.4,9.2,NA,25.87,"63","Adult",38.06742,-121.78878,"Directed Outflow Project/SHERLOCK","WY24_S326","Liquid nitrogen","UC Davis Aquatic Health Lab","Adclipped","BY2023 LS2",NA,12.3825004206595,3,"LS2","01/10/2024 ","01/10/2024 ","Rio Vista ","Hard (large scale) ","Ad-clip ","25,649 ","Completed ",38.1395626542722,-121.694184214615,2024-01-10,6,2.06375007010991
2024-01-22,"USFWS EDSM","Kodiak Trawl","24-26-SM01","Suisun Marsh",885,10.7,90.5,20.35,">58","Adult",38.12357,-121.89997,"FCCL Broodstock/Directed Outflow Project","WY24_S257","None/Frozen","UC Davis Aquatic Health Lab","AdClipped","BY2023 LS2","Fish not measured because transferred to FCCL for broodstock, length estimated as >58mm. Genetics determined fish was hatchery fish, appeared to have bad adclip",28.9323149383959,3,"LS2","01/10/2024 ","01/10/2024 ","Rio Vista ","Hard (large scale) ","Ad-clip ","25,649 ","Completed ",38.1395626542722,-121.694184214615,2024-01-10,12,2.41102624486633
2024-01-24,"USFWS EDSM","Kodiak Trawl","24-26-SM04","Suisun Marsh",4307,11.3,121,NA,"77","Adult",38.1718,-122.06549,"Directed Outflow Project","WY24_S255","Liquid nitrogen","UC Davis Aquatic Health Lab","AdClipped","BY2023 LS2",NA,49.7671926749655,3,"LS2","01/10/2024 ","01/10/2024 ","Rio Vista ","Hard (large scale) ","Ad-clip ","25,649 ","Completed ",38.1395626542722,-121.694184214615,2024-01-10,14,3.55479947678325
2024-01-24,"USFWS EDSM","Kodiak Trawl","24-26-SSC03","Lower Sac River Ship Channel",237.9,10.7,50.6,NA,"68","Adult",38.31186,-121.65279,"Directed Outflow Project","WY24_S327","Liquid nitrogen","UC Davis Aquatic Health Lab","AdClipped","BY2023 LS2",NA,21.699133906018,3,"LS2","01/10/2024 ","01/10/2024 ","Rio Vista ","Hard (large scale) ","Ad-clip ","25,649 ","Completed ",38.1395626542722,-121.694184214615,2024-01-10,14,1.54993813614414
2024-01-25,"USFWS EDSM","Kodiak Trawl","24-26-LSR01","Sacramento River near Rio Vista",189,11.3,55.7,NA,"67","Adult",38.08447,-121.7368,"Directed Outflow Project","WY24_S328","Liquid nitrogen","UC Davis Aquatic Health Lab","VIE-Left/Orange/Posterior Dorsal","BY2023 3a",NA,7.68230386606191,3,"3a","01/24/2024 ","01/24/2024 ","Rio Vista ","Hard (carboy) ","Left/ orange/ PD ","6,382 ","Completed ",38.1395626542722,-121.694184214615,2024-01-24,1,7.68230386606191
2024-01-27,"TFCF","Salvage","NA","Salvage",NA,12.5,NA,NA,"72","Adult",37.816984,-121.556881,"NA","WY24_Salvage_7","95% Ethanol","TFCF","AdClipped","BY2023 LS2",NA,49.1682330499592,3,"LS2","01/10/2024 ","01/10/2024 ","Rio Vista ","Hard (large scale) ","Ad-clip ","25,649 ","Completed ",38.1395626542722,-121.694184214615,2024-01-10,17,2.89224900293878
2024-01-31,"USFWS EDSM","Kodiak Trawl","24-27-LSJ05","San Joaquin River at Prisoners Pt",289.5,12.4,15.6,12.07,"65","Adult",38.0586,-121.55394,"Directed Outflow Project","WY24_S521","Liquid nitrogen","UC Davis Aquatic Health Lab","VIE-Left/Orange/Posterior Dorsal","BY2023 3a",NA,24.1051125014165,3,"3a","01/24/2024 ","01/24/2024 ","Rio Vista ","Hard (carboy) ","Left/ orange/ PD ","6,382 ","Completed ",38.1395626542722,-121.694184214615,2024-01-24,7,3.44358750020236
2024-02-01,"USFWS EDSM","Kodiak Trawl","24-27-SM04","Suisun Marsh",1090,12.7,78.2,29.19,"68","Adult",38.18318,-121.98945,"Directed Outflow Project","WY24_S258","Liquid nitrogen","UC Davis Aquatic Health Lab","AdClipped","BY2023 LS2",NA,43.2926218521427,3,"LS2","01/10/2024 ","01/10/2024 ","Rio Vista ","Hard (large scale) ","Ad-clip ","25,649 ","Completed ",38.1395626542722,-121.694184214615,2024-01-10,22,1.96784644782467
2024-02-05,"USFWS EDSM","Kodiak Trawl","24-28-LSJ02","Lower San Joaquin",273.1,11.9,31.3,20.08,"65","Adult",38.02501,-121.75343,"Directed Outflow Project","WY24_S522","Liquid nitrogen","UC Davis Aquatic Health Lab","AdClipped","BY2023 LS2",NA,18.3723094648145,3,"LS2","01/10/2024 ","01/10/2024 ","Rio Vista ","Hard (large scale) ","Ad-clip ","25,649 ","Completed ",38.1395626542722,-121.694184214615,2024-01-10,26,0.706627287108249
2024-02-05,"USFWS EDSM","Kodiak Trawl","24-28-LSJ02","Lower San Joaquin",280.5,11.9,26.9,18.9,"69","Adult",38.02501,-121.75343,"Directed Outflow Project","WY24_S524","Liquid nitrogen","UC Davis Aquatic Health Lab","VIE-Right/Orange/Anterior Dorsal","BY2023 3b",NA,18.3723094648145,3,"3b","01/23/2024 ","01/25/2024 ","Rio Vista ","Soft (carboy) ","Right/ orange/ AD ","6,396 ","Completed ",38.1395626542722,-121.694184214615,2024-01-25,11,1.67020995134677
2024-02-05,"USFWS EDSM","Kodiak Trawl","24-28-LSJ02","Lower San Joaquin",280.5,11.9,26.9,18.9,"72","Adult",38.02501,-121.75343,"Directed Outflow Project","WY24_S523","Liquid nitrogen","UC Davis Aquatic Health Lab","AdClipped","BY2023 LS2",NA,18.3723094648145,3,"LS2","01/10/2024 ","01/10/2024 ","Rio Vista ","Hard (large scale) ","Ad-clip ","25,649 ","Completed ",38.1395626542722,-121.694184214615,2024-01-10,26,0.706627287108249
2024-02-05,"USFWS EDSM","Kodiak Trawl","24-28-SM01","Suisun Marsh",666,12,98.8,25.68,"56","Juvenile",38.11361,-121.89077,"Directed Outflow Project","WY24_S260","Liquid nitrogen","UC Davis Aquatic Health Lab","VIE-Left/Orange/Posterior Dorsal","BY2023 3a",NA,26.6187434249177,3,"3a","01/24/2024 ","01/24/2024 ","Rio Vista ","Hard (carboy) ","Left/ orange/ PD ","6,382 ","Completed ",38.1395626542722,-121.694184214615,2024-01-24,12,2.21822861874315
2024-02-06,"TFCF","Salvage","NA","Salvage",NA,12.4,NA,NA,"67","Adult",37.816984,-121.556881,"NA","WY24_Salvage_14","95% Ethanol","TFCF","VIE-Right/Orange/Anterior Dorsal","BY2023 3b",NA,49.1682330499592,3,"3b","01/23/2024 ","01/25/2024 ","Rio Vista ","Soft (carboy) ","Right/ orange/ AD ","6,396 ","Completed ",38.1395626542722,-121.694184214615,2024-01-25,12,4.09735275416327
2024-02-06,"TFCF","Salvage","NA","Salvage",NA,12.5,NA,NA,"68","Adult",37.816984,-121.556881,"NA","WY24_Salvage_15","95% Ethanol","TFCF","AdClipped","BY2023 LS2",NA,49.1682330499592,3,"LS2","01/10/2024 ","01/10/2024 ","Rio Vista ","Hard (large scale) ","Ad-clip ","25,649 ","Completed ",38.1395626542722,-121.694184214615,2024-01-10,27,1.82104566851701
2024-02-06,"USFWS EDSM","Kodiak Trawl","24-28-SM02","Suisun Marsh",4873,12.1,106,28.72,"69","Adult",38.12832,-122.05937,"Directed Outflow Project","WY24_S237","Liquid nitrogen","UC Davis Aquatic Health Lab","AdClipped","BY2023 LS2",NA,40.6002914410912,3,"LS2","01/10/2024 ","01/10/2024 ","Rio Vista ","Hard (large scale) ","Ad-clip ","25,649 ","Completed ",38.1395626542722,-121.694184214615,2024-01-10,27,1.50371449781819
2024-02-07,"USFWS EDSM","Kodiak Trawl","24-28-LSR02","Lower Sacramento River",124.5,10.8,108,NA,"65","Adult",38.06135,-121.79143,"Directed Outflow Project","WY24_S531","Frozen","UC Davis Aquatic Health Lab","AdClipped","BY2023 LS2","Fish originally identified as WAG in the field, found during verification. Fish had bad aclip. Fish frozen in freezer, then transferred to dewar for transfer to DOP.",12.8867942141749,3,"LS2","01/10/2024 ","01/10/2024 ","Rio Vista ","Hard (large scale) ","Ad-clip ","25,649 ","Completed ",38.1395626542722,-121.694184214615,2024-01-10,28,0.460242650506245
2024-02-07,"USFWS EDSM","Kodiak Trawl","24-28-LSR03","Lower Sacramento River",128.9,10.8,110,NA,"58","Juvenile",38.06861,-121.82305,"Directed Outflow Project","WY24_S329","Liquid nitrogen","UC Davis Aquatic Health Lab","VIE-Right/Orange/Anterior Dorsal","BY2023 3b",NA,15.8817618315958,3,"3b","01/23/2024 ","01/25/2024 ","Rio Vista ","Soft (carboy) ","Right/ orange/ AD ","6,396 ","Completed ",38.1395626542722,-121.694184214615,2024-01-25,13,1.22167398704583
2024-02-07,"USFWS EDSM","Kodiak Trawl","24-28-SB03","Honker Bay",583,11.5,148,40.41,"73","Adult",38.04983,-121.94417,"Directed Outflow Project","WY24_LF1300","Liquid nitrogen","UC Davis Aquatic Health Lab","VIE-Left/Orange/Posterior Dorsal","BY2023 3a","Delta Smelt originally identified as a Longfin Smelt in the field and trasnferred to DOP, found during processing.",26.8790699774211,3,"3a","01/24/2024 ","01/24/2024 ","Rio Vista ","Hard (carboy) ","Left/ orange/ PD ","6,382 ","Completed ",38.1395626542722,-121.694184214615,2024-01-24,14,1.9199335698158
2024-02-08,"USFWS EDSM","Kodiak Trawl","24-28-LSJ04","San Joaquin River at Prisoners Pt",219.4,11.2,53.1,32.11,"68","Adult",38.07438,-121.56956,"Directed Outflow Project","WY24_S525","Liquid nitrogen","UC Davis Aquatic Health Lab","VIE-Right/Orange/Anterior Dorsal","BY2023 3b",NA,21.7766003930058,3,"3b","01/23/2024 ","01/25/2024 ","Rio Vista ","Soft (carboy) ","Right/ orange/ AD ","6,396 ","Completed ",38.1395626542722,-121.694184214615,2024-01-25,14,1.55547145664327
2024-02-08,"USFWS EDSM","Kodiak Trawl","24-28-LSR04","Sacramento River near Rio Vista",179.9,11,104,59.83,"69","Adult",38.11398,-121.68915,"Directed Outflow Project","WY24_S330","Liquid nitrogen","UC Davis Aquatic Health Lab","VIE-Left/Red/Posterior Dorsal","BY2023 4a",NA,5.49127300573232,3,"4a","01/31/2024 ","01/31/2024 ","Rio Vista ","Hard (trailer) ","Left/ red/ PD ","6,576 ","Completed ",38.1395626542722,-121.694184214615,2024-01-31,8,0.68640912571654
