"WY","Month","Region","Secchi","SampleSize_secchi"
1967,9,"North",49.4,5
1967,9,"South",46.0476190476191,21
1967,9,"West",28.8461538461538,39
1968,1,"North",20.4,5
1968,1,"South",44.5714285714286,21
1968,1,"West",45.0476190476191,42
1968,2,"North",31.2,5
1968,2,"South",31.1428571428571,21
1968,2,"West",22.2142857142857,42
1968,3,"North",35.8,5
1968,3,"South",34.4285714285714,21
1968,3,"West",30.4761904761905,42
1968,8,"North",35,6
1968,8,"South",38.4761904761905,21
1968,8,"West",32.5121951219512,41
1968,9,"North",34.6,5
1968,9,"South",40.6,20
1968,9,"West",25.8048780487805,41
1968,10,"North",53.6,5
1968,10,"South",52.7142857142857,21
1968,10,"West",31.0487804878049,41
1968,11,"North",65.6,5
1968,11,"South",57.0952380952381,21
1968,11,"West",38.5238095238095,42
1968,12,"North",54,5
1968,12,"South",60.0476190476191,21
1968,12,"West",33.1428571428571,42
1969,1,"South",35.4761904761905,21
1969,1,"West",25.9230769230769,39
1969,2,"North",18.5,4
1969,2,"South",20.1904761904762,21
1969,2,"West",17.3939393939394,33
1969,3,"North",19.75,4
1969,3,"South",27.7894736842105,19
1969,3,"West",17.925,40
1969,7,"North",50,2
1969,7,"South",43.1818181818182,11
1969,7,"West",26,14
1969,8,"North",54.7777777777778,9
1969,8,"South",50.0652173913044,46
1969,8,"West",26.3636363636364,66
1969,9,"North",41.25,4
1969,9,"South",46.2083333333333,24
1969,9,"West",25.7560975609756,41
1969,10,"North",34.8,5
1969,10,"South",42.6666666666667,21
1969,10,"West",31.6666666666667,42
1969,11,"North",45.8,5
1969,11,"South",53.2,20
1969,11,"West",35.5,42
1969,12,"North",67.4,5
1969,12,"South",68.3,10
1969,12,"West",36.5952380952381,42
1970,1,"North",13.3333333333333,3
1970,1,"South",29.1538461538462,13
1970,1,"West",23.5,20
1970,3,"North",35.5,2
1970,3,"South",41.1666666666667,12
1970,3,"West",33.1428571428571,21
1970,6,"North",34,2
