"date","week","month","year","waterYear","oldFlow","middleFlow","omrFlow","oldRExtrap","middleRExtrap","omrFlowExtrap"
1987-09-18,38,9,1987,1987,-3570,-4950,-8520,-3570,-4950,-8520
1987-09-19,38,9,1987,1987,-3330,-4540,-7870,-3330,-4540,-7870
1987-09-20,38,9,1987,1987,-2880,-4080,-6960,-2880,-4080,-6960
1987-09-21,38,9,1987,1987,-2660,-4090,-6750,-2660,-4090,-6750
1987-09-22,38,9,1987,1987,-2710,-3910,-6620,-2710,-3910,-6620
1987-09-23,38,9,1987,1987,-2570,-3640,-6210,-2570,-3640,-6210
1987-09-24,39,9,1987,1987,-2810,-3870,-6680,-2810,-3870,-6680
1987-09-25,39,9,1987,1987,-2530,-3820,-6350,-2530,-3820,-6350
1987-09-26,39,9,1987,1987,-2510,-3930,-6440,-2510,-3930,-6440
1987-09-27,39,9,1987,1987,-2930,-4040,-6970,-2930,-4040,-6970
1987-09-28,39,9,1987,1987,-3390,-4590,-7980,-3390,-4590,-7980
1987-09-29,39,9,1987,1987,-3370,-4480,-7850,-3370,-4480,-7850
1987-09-30,39,9,1987,1987,-2990,-3950,-6940,-2990,-3950,-6940
1987-10-01,40,10,1987,1988,-2130,-3080,-5210,-2130,-3080,-5210
1987-10-02,40,10,1987,1988,-976,-2000,-2976,-976,-2000,-2976
1987-10-03,40,10,1987,1988,-1120,-2680,-3800,-1120,-2680,-3800
1987-10-04,40,10,1987,1988,-1580,-3430,-5010,-1580,-3430,-5010
1987-10-05,40,10,1987,1988,-2640,-4020,-6660,-2640,-4020,-6660
1987-10-06,40,10,1987,1988,-2930,-3940,-6870,-2930,-3940,-6870
1987-10-07,40,10,1987,1988,-2690,-3720,-6410,-2690,-3720,-6410
1987-10-08,41,10,1987,1988,-2480,-3310,-5790,-2480,-3310,-5790
1987-10-09,41,10,1987,1988,-2420,-3300,-5720,-2420,-3300,-5720
1987-10-10,41,10,1987,1988,-2350,-3000,-5350,-2350,-3000,-5350
1987-10-11,41,10,1987,1988,-2920,-3450,-6370,-2920,-3450,-6370
1987-10-12,41,10,1987,1988,-2890,-3380,-6270,-2890,-3380,-6270
1987-10-13,41,10,1987,1988,-2440,-2810,-5250,-2440,-2810,-5250
1987-10-14,41,10,1987,1988,-2340,-2890,-5230,-2340,-2890,-5230
1987-10-15,42,10,1987,1988,-2500,-3180,-5680,-2500,-3180,-5680
1987-10-16,42,10,1987,1988,-2160,-2900,-5060,-2160,-2900,-5060
1987-10-17,42,10,1987,1988,-2130,-2770,-4900,-2130,-2770,-4900
1987-10-18,42,10,1987,1988,-2430,-3060,-5490,-2430,-3060,-5490
1987-10-19,42,10,1987,1988,-2170,-2860,-5030,-2170,-2860,-5030
1987-10-20,42,10,1987,1988,-1850,-2530,-4380,-1850,-2530,-4380
1987-10-21,42,10,1987,1988,-1970,-2660,-4630,-1970,-2660,-4630
1987-10-22,43,10,1987,1988,-2160,-2810,-4970,-2160,-2810,-4970
1987-10-23,43,10,1987,1988,-2230,-2770,-5000,-2230,-2770,-5000
1987-10-24,43,10,1987,1988,-1900,-2400,-4300,-1900,-2400,-4300
1987-10-25,43,10,1987,1988,-1930,-2270,-4200,-1930,-2270,-4200
1987-10-26,43,10,1987,1988,-2290,-2610,-4900,-2290,-2610,-4900
1987-10-27,43,10,1987,1988,-2040,-2490,-4530,-2040,-2490,-4530
1987-10-28,43,10,1987,1988,-1520,-2010,-3530,-1520,-2010,-3530
1987-10-29,44,10,1987,1988,-1500,-2050,-3550,-1500,-2050,-3550
1987-10-30,44,10,1987,1988,-1930,-2580,-4510,-1930,-2580,-4510
1987-10-31,44,10,1987,1988,-2240,-3050,-5290,-2240,-3050,-5290
1987-11-01,44,11,1987,1988,-2110,-2920,-5030,-2110,-2920,-5030
1987-11-02,44,11,1987,1988,-1810,-2570,-4380,-1810,-2570,-4380
1987-11-03,44,11,1987,1988,-2160,-2850,-5010,-2160,-2850,-5010
1987-11-04,44,11,1987,1988,-2470,-3180,-5650,-2470,-3180,-5650
1987-11-05,45,11,1987,1988,-2150,-2850,-5000,-2150,-2850,-5000
1987-11-06,45,11,1987,1988,-1940,-2570,-4510,-1940,-2570,-4510
1987-11-07,45,11,1987,1988,-1640,-2200,-3840,-1640,-2200,-3840
1987-11-08,45,11,1987,1988,-1640,-2140,-3780,-1640,-2140,-3780
1987-11-09,45,11,1987,1988,-1520,-1950,-3470,-1520,-1950,-3470
1987-11-10,45,11,1987,1988,-1280,-1740,-3020,-1280,-1740,-3020
1987-11-11,45,11,1987,1988,-1220,-1650,-2870,-1220,-1650,-2870
1987-11-12,46,11,1987,1988,-1620,-2170,-3790,-1620,-2170,-3790
1987-11-13,46,11,1987,1988,-1760,-2450,-4210,-1760,-2450,-4210
1987-11-14,46,11,1987,1988,-1320,-1950,-3270,-1320,-1950,-3270
1987-11-15,46,11,1987,1988,-1990,-2660,-4650,-1990,-2660,-4650
1987-11-16,46,11,1987,1988,-2650,-3550,-6200,-2650,-3550,-6200
1987-11-17,46,11,1987,1988,-2620,-3560,-6180,-2620,-3560,-6180
1987-11-18,46,11,1987,1988,-2540,-3460,-6000,-2540,-3460,-6000
1987-11-19,47,11,1987,1988,-2740,-3640,-6380,-2740,-3640,-6380
