"WY","Month","Date_median","dist_km_facility","dist_km_sd","Count","FirstFlush_firstDate","FirstFlush_medianDate","FirstFlushOccurred","Year","SAC","SJR","TOT","YOLO","EXPORTS","OUT","X2","mean_OMR","DateMonth","SAC_1","SJR_1","TOT_1","YOLO_1","EXPORTS_1","OUT_1","X2_1"
1976,3,"1976-03-24",70.5452156193128,12.206375009951,40,1975-11-25,1975-12-08,"Yes",1976,14574.1935483871,1822.90322580645,16617.5483870968,51,8420.16129032258,7788.1935483871,80.316065323871,-4570.14028252271,1976-03-01,12772.4137931034,2114.8275862069,15080.7931034483,33.7586206896552,7817.44827586207,7471.31034482759,79.4769950924138
1976,4,"1976-04-06",57.7872756335601,14.1255816205419,96,1975-11-25,1975-12-08,"Yes",1976,12724.3333333333,1292.73333333333,14199.7333333333,0.1,5141.63333333333,8728.93333333333,80.8916546696667,-7905.55414379175,1976-04-01,14574.1935483871,1822.90322580645,16617.5483870968,51,8420.16129032258,7788.1935483871,80.316065323871
1976,11,"1975-11-13",54.401148244524,9.91660638427115,67,1975-11-25,1975-12-08,"No",1975,22250,3906,27058.9666666667,12.7,8009.43333333333,17921.1333333333,70.4997963753333,-5101.09574649139,1975-11-01,19174.1935483871,4543.22580645161,24646.7741935484,17.6129032258065,7560.09677419355,16900.935483871,72.3299388419355
1976,12,"1975-12-16",57.0878614287615,12.062949073137,80,1975-11-25,1975-12-08,"Yes",1975,25545.1612903226,3744.83870967742,29673.8709677419,40.3225806451613,7819.35483870968,19953.8709677419,68.6271529141935,-4570.14028252271,1975-12-01,22250,3906,27058.9666666667,12.7,8009.43333333333,17921.1333333333,70.4997963753333
1977,1,"1977-01-14",52.006480491241,13.9651268831225,82,NA,NA,"No",1977,9801.61290322581,1090.77419354839,10945.935483871,2.54838709677419,7044.45161290323,4362.61290322581,86.6837333993548,-7845.99543866844,1977-01-01,7742.90322580645,964.838709677419,8766.93548387097,1.12903225806452,2783.45161290323,4213.06451612903,88.5246706932258
1977,3,"1977-03-16",51.1915213116294,5.50900643823478,80,NA,NA,"No",1977,6572.90322580645,523.677419354839,7150.03225806452,3.67741935483871,3875.41935483871,3007.25806451613,89.575682683871,-4570.14028252271,1977-03-01,8002.85714285714,788.535714285714,8832.82142857143,1.10714285714286,4381,4878.25,90.8812471371429
1977,4,"1977-04-12",54.6414835419516,5.62167277007558,19,NA,NA,"No",1977,5961,212.1,6198.73333333333,1,1401.63333333333,2977.03333333333,91.4685639046667,-7905.55414379175,1977-04-01,6572.90322580645,523.677419354839,7150.03225806452,3.67741935483871,3875.41935483871,3007.25806451613,89.575682683871
1977,11,"1976-11-24",47.8636670876904,11.184560550332,77,NA,NA,"No",1976,7823.33333333333,1136,9059.13333333333,6.23333333333333,4243.9,3643.43333333333,89.3020949183333,-5101.09574649139,1976-11-01,8102.90322580645,1273.54838709677,9405.48387096774,1,4617.83870967742,3611.48387096774,88.9509433712903
1978,1,"1978-01-13",57.9882762409705,13.2812028806065,95,1978-01-07,1978-03-06,"Yes",1978,45490.3225806452,2275.67741935484,70897.1612903226,18700.9677419355,9858.90322580645,66157.0322580645,70.0067245087097,-7845.99543866844,1978-01-01,11745.4838709677,505.741935483871,12525.7096774194,0,5830.77419354839,8569.87096774194,89.1853869835484
1978,2,"1978-02-08",42.4816564649855,NA,1,1978-01-07,1978-03-06,"Yes",1978,44703.5714285714,7318.57142857143,63704.3571428571,8617.53571428571,10309.5357142857,56158.5714285714,60.0650310042857,-5101.09574649139,1978-02-01,45490.3225806452,2275.67741935484,70897.1612903226,18700.9677419355,9858.90322580645,66157.0322580645,70.0067245087097
1978,3,"1978-03-22",67.2977610286343,19.5253074557585,132,1978-01-07,1978-03-06,"Yes",1978,55570.9677419355,11474.8387096774,88587.9032258065,18367.9032258065,5843.74193548387,85618.6129032258,55.3329582596774,-4570.14028252271,1978-03-01,44703.5714285714,7318.57142857143,63704.3571428571,8617.53571428571,10309.5357142857,56158.5714285714,60.0650310042857
1978,4,"1978-04-13",82.5726285739067,7.11792270800814,291,1978-01-07,1978-03-06,"Yes",1978,38883.3333333333,20030,63741.7,1377.63333333333,3377.33333333333,61170.1333333333,55.4879615403333,-7905.55414379175,1978-04-01,55570.9677419355,11474.8387096774,88587.9032258065,18367.9032258065,5843.74193548387,85618.6129032258,55.3329582596774
1978,11,"1977-11-15",53.8469097858235,10.5763810428521,85,1978-01-07,1978-03-06,"No",1977,6687.33333333333,429.7,7151.43333333333,0,2651.16666666667,4003.43333333333,91.0039867063333,-5101.09574649139,1977-11-01,4494.1935483871,246.193548387097,4749.32258064516,0,791.709677419355,2045.90322580645,94.7305485509677
1978,12,"1977-12-13",55.8346040673977,10.0226363475558,105,1978-01-07,1978-03-06,"No",1977,11745.4838709677,505.741935483871,12525.7096774194,0,5830.77419354839,8569.87096774194,89.1853869835484,-4570.14028252271,1977-12-01,6687.33333333333,429.7,7151.43333333333,0,2651.16666666667,4003.43333333333,91.0039867063333
1979,2,"1979-02-12",72.0481134729659,16.2945004100543,50,1979-01-13,1979-02-27,"Yes",1979,32442.8571428571,7137.85714285714,45683.2142857143,1661.60714285714,2938.82142857143,46341.0714285714,66.6602227467857,-5101.09574649139,1979-02-01,23190.3225806452,5233.22580645161,30791,424.935483870968,4103.90322580645,30522.4516129032,71.8701045074194
1979,3,"1979-03-08",68.8325908261106,22.6808136563322,49,1979-01-13,1979-02-27,"Yes",1979,29164.5161290323,8651.93548387097,41626.5483870968,333.903225806452,4347.12903225806,38086.8064516129,60.65586867,-4570.14028252271,1979-03-01,32442.8571428571,7137.85714285714,45683.2142857143,1661.60714285714,2938.82142857143,46341.0714285714,66.6602227467857
1979,4,"1979-04-12",65.7030261389807,17.3793470605538,603,1979-01-13,1979-02-27,"Yes",1979,16546.6666666667,3506.33333333333,21618.0333333333,30.1,5881.9,14484.6,67.5090901586667,-7905.55414379175,1979-04-01,29164.5161290323,8651.93548387097,41626.5483870968,333.903225806452,4347.12903225806,38086.8064516129,60.65586867
1979,11,"1978-11-20",56.2561980339466,11.1845661454061,26,1979-01-13,1979-02-27,"No",1978,12443.3333333333,3497.66666666667,16414.2,2.93333333333333,5572.66666666667,10928.0666666667,77.516614028,-5101.09574649139,1978-11-01,12487.0967741935,3327.41935483871,16619.6129032258,1.09677419354839,5157.12903225806,9599.96774193548,76.3381575248387
