"WY","Month","Date_median","dist_km_facility","dist_km_sd","Count"
1976,3,1976-03-24,43.0051279112809,15.5683507131154,40
1976,4,1976-04-06,19.2717198499825,15.6507401785501,96
1976,11,1975-11-13,41.2269973336496,10.9459013799712,67
1976,12,1975-12-16,42.155036353593,10.5087228080506,80
1977,1,1977-01-14,32.7743355671471,17.7166087044282,82
1977,3,1977-03-16,11.7237199326751,13.2259632256224,80
1977,4,1977-04-12,21.7981845188514,12.7578392426645,19
1977,11,1976-11-24,22.9281475168721,13.1454946306742,77
1978,1,1978-01-13,40.5098500967769,10.909721380664,95
1978,2,1978-02-08,25.8672357662174,NA,1
1978,3,1978-03-22,36.8103145404929,23.9552315533065,132
1978,4,1978-04-13,58.4786427202171,10.5692647708442,291
1978,11,1977-11-15,14.5927851200807,10.0135022091805,85
1978,12,1977-12-13,20.6912924516733,13.7910568446717,105
1979,2,1979-02-12,42.6557577401808,13.7118386313273,50
1979,3,1979-03-08,39.4466497440535,23.0177318898506,49
1979,4,1979-04-12,33.1099261771291,27.8804706350023,603
1979,11,1978-11-20,36.2838080971084,14.7695973146494,26
1979,12,1978-12-14,43.7791018593885,13.9687505720574,26
1980,1,1980-01-14,60.8797654555719,5.38334399790369,379
1980,2,1980-02-14,58.7766145033848,10.372405118373,217
1980,3,1980-03-13,58.0046727459138,11.000232805863,102
1980,4,1980-04-10,51.8274422837056,18.9066767649499,61
1980,11,1979-11-14,38.3757019247715,0,2
1980,12,1979-12-26,23.3641324783214,0,2
1981,1,1981-01-28,47.7980567606624,17.2859955238424,159
1981,2,1981-02-12,40.8746785815401,12.4214784890327,173
1981,3,1981-03-19,40.8628451044702,16.6350208594018,200
1981,4,1981-04-09,57.8095023904887,10.6983469547869,431
1981,11,1980-11-13,28.5189811946208,14.3827847266075,470
1981,12,1980-12-09,41.5704861746362,12.0973284548659,420
1982,1,1982-01-05,52.129964274488,8.98658901684169,70
1982,2,1982-02-09,42.4743722320521,14.6405387688491,41
1982,3,1982-03-10,27.7245005417135,22.7494957721683,62
1982,4,1982-04-16,45.7182882973932,19.2730212630036,117
1982,11,1981-11-13,40.5908209501895,11.5715823492096,86
1982,12,1981-12-10,48.6496400855559,10.9744704891364,118
1983,1,1983-01-03,46.0471212800103,13.2958078660526,67
1983,2,1983-02-05,43.2634098721163,12.0567965851863,26
1983,3,1983-03-07,50.1433938149611,21.9666111669705,61
1983,4,1983-04-19,59.362329906866,9.32137620925688,301
1983,11,1982-11-11,39.7416687384445,7.53172826106537,60
1983,12,1982-12-14,43.7698908243233,13.7811744381361,76
1984,1,1984-01-20,45.2452626008782,20.8710084570796,10
1984,2,1984-02-28,47.2528754149296,23.9688722599231,30
1984,3,1984-03-06,52.6834193219562,29.5622413170923,24
1984,4,1984-04-09,44.8482970710346,11.8893992626589,548
1984,11,1983-11-09,47.8429539027605,6.11479189712563,95
1984,12,1983-12-06,55.3434396893026,11.5155014560957,17
1985,1,1985-01-10,28.8210184960758,10.8678542548105,6
1985,2,1985-02-05,28.5402530516329,15.2217762651751,7
1985,3,1985-03-27,15.2049941079632,18.0802920219228,6
1985,4,1985-04-08,35.4623080762837,17.6322081536697,104
1985,11,1984-11-05,46.3257939291556,4.00715565341408,6
1985,12,1984-12-06,33.512211202992,9.55688572963535,29
1986,1,1986-01-06,16.8323626765984,NA,1
1986,2,1986-02-03,41.3118211162644,15.9370438190149,7
1986,3,1986-03-04,34.7437193889881,23.9732099352756,31
1986,4,1986-04-19,41.7314425688111,11.3593587809401,23
1986,11,1985-11-08,15.7026014084162,3.29761154397281,20
1986,12,1985-12-03,17.9750746254801,5.95189892276381,30
1987,1,1987-01-05,23.1255900923822,3.08303920079288,6
1987,2,1987-02-14,31.593737082564,10.1531604207049,4
1987,3,1987-03-10,18.1804938023311,19.2619784357873,18
1987,4,1987-04-10,45.1348687954835,12.3328182006048,41
1987,11,1986-11-05,42.1945512789489,11.4122008733098,35
1987,12,1986-12-04,33.6437640177292,13.5774185466725,70
1988,1,1988-01-26,23.3641324783214,NA,1
1988,2,1988-02-01,21.8669446092255,4.3600758510892,3
1988,3,1988-03-07,36.4313387224262,26.3780081860231,4
1988,4,1988-04-25,36.4626278033954,NA,1
1988,11,1987-11-16,16.8689053726537,4.06878191882178,83
1988,12,1987-12-11,23.3407081948657,9.20416439476319,58
1989,1,1989-01-05,24.384235575539,NA,1
1989,2,1989-02-08,36.3118923677983,16.8682540029447,2
1989,3,1989-03-08,15.6922953176014,8.98641836510754,5
1989,4,1989-04-19,47.6343167224508,13.3994451742853,14
1989,11,1988-11-15,19.3182763624125,3.11522619158685,22
1989,12,1988-12-13,13.0729313608802,6.7908874124633,19
1990,3,1990-03-05,27.4818753227607,12.4898296732034,3
1990,4,1990-04-09,41.9226320272564,10.940603843875,19
1990,11,1989-11-13,25.3352857446491,12.4203454508077,136
1990,12,1989-12-11,23.2990709103249,11.2257335902607,39
1991,1,1991-01-09,19.0424531282854,11.414158803349,156
1991,2,1991-02-06,22.0041679500108,14.9265917695027,45
1991,3,1991-03-07,30.741529123151,18.9796812612295,45
1991,4,1991-04-19,48.2910157955768,12.2004203802062,31
1991,11,1990-11-09,18.5509304185862,7.52648988382703,142
1991,12,1990-12-10,21.656902449681,13.1592851158633,16
1992,1,1992-01-09,23.7380768569416,16.1489494094798,37
1992,2,1992-02-05,26.5349627417334,16.6584987635582,34
1992,3,1992-03-17,31.0619893348392,20.7720747593706,49
1992,4,1992-04-14,44.5603191215764,14.3728621243983,59
1992,11,1991-11-08,17.7817451187797,9.06891405540738,249
1992,12,1991-12-06,16.8670001293296,9.76433462108711,34
1993,1,1993-01-08,39.7626041796638,14.4931499552965,14
1993,2,1993-02-08,35.6279725828379,14.7243056888196,13
1993,3,1993-03-15,39.180189046184,16.5652689261332,59
1993,4,1993-04-16,47.305765768204,11.6708830515809,109
1993,11,1992-11-06,14.5162868547945,4.6301108761672,51
1993,12,1992-12-11,23.5778738559044,15.9740053199215,25
1994,1,1994-01-19,46.1561480029815,13.101773409022,994
