"WY","Month","Date_median","dist_km_facility","dist_km_sd","Count","pre2009"
1976,3,1976-03-24,67.40406356195,NA,40,"preBiOp"
1976,4,1976-04-06,55.430340068795,NA,96,"preBiOp"
1976,11,1975-11-13,57.8721292547661,NA,67,"preBiOp"
1976,12,1975-12-16,57.9284945008257,NA,80,"preBiOp"
1977,1,1977-01-14,52.2963156835624,NA,82,"preBiOp"
1977,3,1977-03-16,49.5202035172843,NA,80,"preBiOp"
1977,4,1977-04-12,52.3476437637827,NA,19,"preBiOp"
1977,11,1976-11-24,47.3172355055437,NA,77,"preBiOp"
1978,1,1978-01-13,59.3145076401947,NA,95,"preBiOp"
1978,2,1978-02-08,49.046858731994,NA,1,"preBiOp"
1978,3,1978-03-22,66.4044632611159,NA,132,"preBiOp"
1978,4,1978-04-13,69.1821587404241,NA,291,"preBiOp"
1978,12,1977-12-13,54.4340937493017,NA,105,"preBiOp"
1979,2,1979-02-12,70.3170018245774,NA,50,"preBiOp"
1979,3,1979-03-08,64.9528615636709,NA,49,"preBiOp"
1979,4,1979-04-12,58.3930031166679,NA,603,"preBiOp"
1979,11,1978-11-20,58.3471200108784,NA,26,"preBiOp"
1979,12,1978-12-14,63.7409440149815,NA,26,"preBiOp"
1980,1,1980-01-14,68.3474585146625,NA,379,"preBiOp"
1980,2,1980-02-14,67.2552820991457,NA,217,"preBiOp"
1980,3,1980-03-13,67.6285299924212,NA,102,"preBiOp"
1980,4,1980-04-10,65.5696654790182,NA,61,"preBiOp"
1980,11,1979-11-14,50.0450971440134,NA,2,"preBiOp"
1980,12,1979-12-26,56.8873421961623,NA,2,"preBiOp"
1981,1,1981-01-28,65.8679388333058,NA,159,"preBiOp"
1981,2,1981-02-12,61.9259761633524,NA,173,"preBiOp"
1981,3,1981-03-19,67.6423696843012,NA,200,"preBiOp"
1981,4,1981-04-09,67.9995260330306,NA,431,"preBiOp"
1981,11,1980-11-13,51.7093207971638,NA,470,"preBiOp"
1981,12,1980-12-09,57.9950438764192,NA,420,"preBiOp"
1982,1,1982-01-05,70.6025520216253,NA,70,"preBiOp"
1982,2,1982-02-09,58.613162031428,NA,41,"preBiOp"
1982,3,1982-03-10,55.789006853218,NA,62,"preBiOp"
1982,4,1982-04-16,62.4574803422118,NA,117,"preBiOp"
1982,11,1981-11-13,55.2329337291406,NA,86,"preBiOp"
1982,12,1981-12-10,67.3060216988533,NA,118,"preBiOp"
1983,1,1983-01-03,66.7438604314326,NA,67,"preBiOp"
1983,2,1983-02-05,77.0779699174564,NA,26,"preBiOp"
1983,3,1983-03-07,70.790098886743,NA,61,"preBiOp"
1983,4,1983-04-19,67.1102501232831,NA,301,"preBiOp"
1983,11,1982-11-11,57.068863607874,NA,60,"preBiOp"
1983,12,1982-12-14,64.7711530545611,NA,76,"preBiOp"
1984,1,1984-01-20,72.9725159788137,NA,10,"preBiOp"
1984,2,1984-02-28,88.9119510143829,NA,30,"preBiOp"
1984,3,1984-03-06,77.6213385445396,NA,24,"preBiOp"
1984,4,1984-04-09,55.3435979069617,NA,548,"preBiOp"
1984,11,1983-11-09,66.2472346482685,NA,95,"preBiOp"
1984,12,1983-12-06,74.7539858817014,NA,17,"preBiOp"
1985,1,1985-01-10,42.6655171630202,NA,6,"preBiOp"
1985,2,1985-02-05,48.4272604940044,NA,7,"preBiOp"
1985,3,1985-03-27,50.3892362093353,NA,6,"preBiOp"
1985,4,1985-04-08,52.9204202735827,NA,104,"preBiOp"
1985,11,1984-11-05,67.0580401048042,NA,6,"preBiOp"
1985,12,1984-12-06,51.7557183934687,NA,29,"preBiOp"
1986,1,1986-01-06,47.6395755255288,NA,1,"preBiOp"
1986,2,1986-02-03,60.8413107500452,NA,7,"preBiOp"
1986,3,1986-03-04,59.1872333046234,NA,31,"preBiOp"
1986,4,1986-04-19,54.5594580891103,NA,23,"preBiOp"
1986,11,1985-11-08,48.1123230396478,NA,20,"preBiOp"
1986,12,1985-12-03,46.384809526785,NA,30,"preBiOp"
1987,1,1987-01-05,40.4094369595793,NA,6,"preBiOp"
1987,2,1987-02-14,49.4411925409763,NA,4,"preBiOp"
1987,3,1987-03-10,51.6630989995045,NA,18,"preBiOp"
1987,4,1987-04-10,54.3079487179816,NA,41,"preBiOp"
1987,11,1986-11-05,58.3660040639386,NA,35,"preBiOp"
1987,12,1986-12-04,53.2878866104655,NA,70,"preBiOp"
1988,1,1988-01-26,56.8873421961623,NA,1,"preBiOp"
1988,2,1988-02-01,41.8554646727692,NA,3,"preBiOp"
1988,3,1988-03-07,61.8653485768077,NA,4,"preBiOp"
1988,4,1988-04-25,53.9341759858227,NA,1,"preBiOp"
1988,11,1987-11-16,47.3415949081514,NA,83,"preBiOp"
1988,12,1987-12-11,47.5629452192666,NA,58,"preBiOp"
1989,1,1989-01-05,38.9634092463893,NA,1,"preBiOp"
