"WY","Month","Date_median","dist_km_facility","dist_km_sd","Count"
1976,3,1976-03-24,64.2629115045872,15.4608818449191,40
1976,4,1976-04-06,53.0734045040299,10.2503521754493,96
1976,11,1975-11-13,61.3431102650082,14.4825742595335,67
1976,12,1975-12-16,58.76912757289,11.906069134165,80
1977,1,1977-01-14,52.5861508758839,14.1912470002702,82
1977,3,1977-03-16,47.8488857229392,2.50909145066938,80
1977,4,1977-04-12,50.0538039856137,5.09517838653375,19
1977,11,1976-11-24,46.770803923397,9.48390418360067,77
1978,1,1978-01-13,60.6407390394189,14.2904671170457,95
1978,2,1978-02-08,55.6120609990024,NA,1
1978,3,1978-03-22,65.5111654935974,19.5238945673349,132
1978,4,1978-04-13,55.7916889069417,7.89123846313391,291
1978,11,1977-11-15,50.7808094886019,7.45385099311362,85
1978,12,1977-12-13,53.0335834312057,7.21441270701797,105
1979,2,1979-02-12,68.585890176189,14.0052585883175,50
1979,3,1979-03-08,61.0731323012311,16.1073444661355,49
1979,4,1979-04-12,51.0829800943552,6.47078718488885,603
1979,11,1978-11-20,60.4380419878102,13.7432302980267,26
1979,12,1978-12-14,63.0385054930114,11.095125179639,26
1980,1,1980-01-14,54.5300039365446,4.9270601309544,379
1980,2,1980-02-14,54.6089043352481,6.25314315412772,217
1980,3,1980-03-13,54.4244009201343,4.59970355273956,102
1980,4,1980-04-10,53.3460255496782,4.22155674083864,61
1980,11,1979-11-14,44.1941141436995,0,2
1980,12,1979-12-26,54.4263711015406,0,2
1981,1,1981-01-28,69.9836086210797,12.5508885898411,159
1981,2,1981-02-12,61.0780403462632,17.1413470268219,173
1981,3,1981-03-19,66.3946764661867,19.7259448297102,200
1981,4,1981-04-09,55.8089872166051,7.52324821872479,431
1981,11,1980-11-13,52.2103177502709,9.17370505401449,470
1981,12,1980-12-09,59.2646850017607,14.6147251045788,420
1982,1,1982-01-05,68.9656661107984,13.8217911626036,70
1982,2,1982-02-09,57.8381625695883,16.0053411168645,41
1982,3,1982-03-10,54.7500427421905,15.1079811624875,62
1982,4,1982-04-16,54.2413414494047,6.69647765452957,117
1982,11,1981-11-13,54.7975395709852,11.7505061305449,86
1982,12,1981-12-10,68.8342591422467,11.2384748009265,118
1983,1,1983-01-03,65.8326772579076,14.7429157620043,67
1983,2,1983-02-05,71.9113598307109,20.3266662770003,26
1983,3,1983-03-07,69.6633312951094,17.7277501578217,61
1983,4,1983-04-19,53.7800029375276,3.30091818301182,301
1983,11,1982-11-11,59.3332815118638,13.1193706676901,60
1983,12,1982-12-14,64.5555062860394,13.0311757668475,76
1984,1,1984-01-20,71.070743477601,22.5706819066321,10
1984,2,1984-02-28,81.3917982497522,21.7621402155524,30
1984,3,1984-03-06,74.6072985181424,18.7433978885447,24
1984,4,1984-04-09,53.9660778783625,2.74242025390355,548
1984,11,1983-11-09,64.4963281497327,4.18197656133487,95
1984,12,1983-12-06,74.4549805937491,11.487356033316,17
1985,1,1985-01-10,41.8022006445221,6.05822635608654,6
1985,2,1985-02-05,46.7389908918942,7.23488321523829,7
1985,3,1985-03-27,48.3242603171878,3.02097224954505,6
1985,4,1985-04-08,52.2359601549009,4.0266433445468,104
1985,11,1984-11-05,61.4843291254299,6.16333066143881,6
1985,12,1984-12-06,52.7643064178375,15.9092455137693,29
1986,1,1986-01-06,45.2276868494107,NA,1
1986,2,1986-02-03,59.3852311085222,13.501391684924,7
1986,3,1986-03-04,59.3065126771548,15.7155395414868,31
1986,4,1986-04-19,53.761672269593,1.63908648021534,23
1986,11,1985-11-08,47.6503544599527,1.43646484795404,20
1986,12,1985-12-03,44.6332725495352,3.54139131372622,30
1987,1,1987-01-05,40.312064551074,2.40815327983443,6
1987,2,1987-02-14,48.8546635009982,8.77587556443656,4
1987,3,1987-03-10,51.6079436587474,9.35088066669348,18
1987,4,1987-04-10,53.7623549305185,2.4454813766797,41
1987,11,1986-11-05,59.0694304383698,8.34392723754348,35
1987,12,1986-12-04,53.8105813319188,7.55147232850384,70
1988,1,1988-01-26,54.4263711015406,NA,1
1988,2,1988-02-01,41.2951890107413,3.4056430286151,3
1988,3,1988-03-07,61.3354103342067,12.4005917086323,4
1988,4,1988-04-25,53.4999676121076,NA,1
1988,11,1987-11-16,45.8243221142989,2.27992408666602,83
1988,12,1987-12-11,46.7775705336792,7.66838777956515,58
1989,1,1989-01-05,39.3289400914066,NA,1
1989,2,1989-02-08,47.0592862314831,10.9323603531348,2
1989,3,1989-03-08,54.0000564751715,5.80833624348879,5
1989,4,1989-04-19,53.3913012744536,0.118746961837515,14
1989,11,1988-11-15,44.7368011296617,3.0236646883129,22
1989,12,1988-12-13,46.7517321255646,3.57126539956361,19
1990,3,1990-03-05,52.7675118457799,18.4056689908962,3
1990,4,1990-04-09,53.4155401317248,0.0918730590955093,19
1990,11,1989-11-13,48.8891044472338,3.19401006257466,136
1990,12,1989-12-11,49.9642092678588,5.47943916285722,39
1991,1,1991-01-09,50.9815381348229,8.31557359003124,156
1991,2,1991-02-06,55.8019509045045,19.4147748612387,45
1991,3,1991-03-07,56.9077437439637,24.9397064162212,45
1991,4,1991-04-19,66.3513500204395,21.8411377009814,31
1991,11,1990-11-09,46.3069464675079,2.21166612594879,142
1991,12,1990-12-10,52.5792302694335,12.3430740348025,16
1992,1,1992-01-09,55.0491328588325,9.35414069822124,37
1992,2,1992-02-05,51.0588430444911,13.0037294509062,34
1992,3,1992-03-17,63.244086959263,23.6555338053378,49
1992,4,1992-04-14,53.0127966321878,2.60570348338644,59
1992,11,1991-11-08,45.983296917329,6.57313387028787,249
1992,12,1991-12-06,49.5083197797729,5.13627067413218,34
1993,1,1993-01-08,59.7798311670799,15.6227698946561,14
1993,2,1993-02-08,49.3506646288411,20.9381771467791,13
1993,3,1993-03-15,77.6568787774497,27.9039347722635,59
1993,4,1993-04-16,68.2912625125912,22.8559569993477,109
1993,11,1992-11-06,47.7496644608187,3.55928665778686,51
1993,12,1992-12-11,52.9200176468198,10.3056146866714,25
1994,1,1994-01-19,54.4001337752445,4.69729967135441,994
1994,2,1994-02-14,54.7508113174656,4.62604862963209,875
1994,3,1994-03-11,54.7916222289742,5.84987779373129,567
1994,4,1994-04-06,52.7271780545366,7.06177438738429,168
1994,11,1993-11-08,53.5336173769056,2.24963086603745,1348
1994,12,1993-12-08,53.9204030616465,4.94180168945622,386
1995,1,1995-01-09,53.8283724544446,3.77998787041782,807
1995,2,1995-02-21,53.6951130173554,5.58040648178181,178
1995,3,1995-03-08,54.1083769362362,8.13920506712201,205
1995,4,1995-04-19,53.7158808445915,5.57733174601358,169
1995,11,1994-11-28,54.3420090112846,6.93493382058268,203
1995,12,1994-12-15,53.5047682899928,1.24733433913678,1534
1996,1,1996-01-15,53.4857220093353,1.41219743785926,5911
1996,2,1996-02-07,57.0758790870291,9.02185784210955,557
1996,3,1996-03-25,56.0786037761213,10.2128367559596,1817
1996,4,1996-04-21,53.3843995964496,1.78666359290074,2413
1996,11,1995-11-09,54.1224029329262,3.90587937401976,1261
1996,12,1995-12-13,54.0476799711743,3.51381504854289,879
1997,1,1997-01-18,60.6189611949771,18.6667111774178,13
1997,2,1997-02-18,60.4637755921643,13.2489885857708,27
1997,3,1997-03-11,58.1475235628325,14.6513944192664,126
1997,4,1997-04-22,56.1001943226566,20.8844614610208,57
1997,11,1996-11-14,52.6306493294414,3.40155846435221,184
1997,12,1996-12-09,54.6866487916652,4.64004254040065,954
1998,1,1998-01-09,54.3017392372491,5.11951434679191,452
1998,2,1998-02-20,52.5291332992295,3.30695306887666,34
1998,3,1998-03-09,60.2267451293184,16.0319672809155,216
1998,4,1998-04-20,54.2385417130671,5.15563625070541,229
1998,11,1997-11-12,52.9302601302071,6.66083633431603,171
1998,12,1997-12-17,54.1833043549198,3.93297894897166,1432
1999,1,1999-01-11,53.5667693291166,1.75303563602885,1744
1999,2,1999-02-10,56.2516239743691,8.48973670624441,333
1999,3,1999-03-15,54.4839454526024,7.81657349241781,449
1999,4,1999-04-14,54.2556381326776,5.70879941603907,894
1999,11,1998-11-14,54.5360325729487,6.33740509660957,373
1999,12,1998-12-24,54.5774161922563,4.55346863563276,1325
2000,1,2000-01-10,53.8046332355199,2.88815515949338,1922
2000,2,2000-02-08,60.8696380773688,10.2838039484294,352
2000,3,2000-03-09,57.7641403777655,10.1441899402593,413
2000,4,2000-04-09,54.9889458747328,8.48732473199797,267
2000,11,1999-11-10,54.9423552634734,6.63439830767489,565
2000,12,1999-12-16,53.3602650163364,2.29490117213693,2777
2001,1,2001-01-19,54.3805773444865,4.33393512060305,733
2001,2,2001-02-06,54.2732921696722,5.30071093472522,636
2001,3,2001-03-14,55.1692784474169,10.0377015778189,161
2001,4,2001-04-08,60.1263828268228,18.7913784141182,58
2001,11,2000-11-14,54.4594589571203,6.44056928778337,355
2001,12,2000-12-08,53.3449479279561,5.47874608411049,398
2002,1,2002-01-08,59.0689778839651,13.0771802723805,396
2002,2,2002-02-05,64.0597273956919,13.0184714196508,460
2002,3,2002-03-05,59.1262653343573,11.5707280619449,284
2002,4,2002-04-15,54.4277629823656,14.2461659937125,34
2002,11,2001-11-13,55.6388159543999,6.94159118516404,82
2002,12,2001-12-11,51.1907514787356,7.49413840552204,97
2003,1,2003-01-13,53.7033203288434,5.40048548262746,227
2003,2,2003-02-20,58.0339346073161,9.78986883670155,425
2003,3,2003-03-18,59.883859367194,12.7005345094444,460
2003,4,2003-04-14,56.7936404416804,15.1472236031437,119
2003,11,2002-11-06,52.7003993737531,6.4933325312947,89
2003,12,2002-12-22,54.964152626275,6.0279240509214,251
2004,1,2004-01-27,63.975846998186,13.5040237813012,1060
2004,2,2004-02-17,59.891990345828,15.1851666791401,481
2004,3,2004-03-09,62.5307437198638,16.9428848755489,316
2004,4,2004-04-08,51.0168109394464,14.7992805563521,125
2004,11,2003-11-04,50.3243107208067,9.29422123366267,44
2004,12,2003-12-04,56.8247981108205,8.20712604756624,96
2005,1,2005-01-27,57.4675147379227,9.31073227240014,318
2005,2,2005-02-24,67.7655679286898,9.23453543334103,345
2005,3,2005-03-07,65.9360986810193,12.4111020295994,189
2005,4,2005-04-15,63.0685622566629,11.5455704592315,149
2005,11,2004-11-22,52.5861087429241,4.26764490233603,145
2005,12,2004-12-12,53.3416711077003,2.60386388810912,223
2006,1,2006-01-19,65.6603219012407,12.3715589748719,117
2006,2,2006-02-17,60.2077950707438,12.5000022642944,301
2006,3,2006-03-16,59.2823315670239,11.2549206918283,226
2006,4,2006-04-12,64.9507338376307,11.6425682384067,126
2006,11,2005-11-02,54.0407373942299,7.00681668243983,12
2006,12,2005-12-09,52.7229721850911,5.8099535037409,89
2007,1,2007-01-19,63.1935510781291,11.5043945519156,385
2007,2,2007-02-07,62.989682312506,11.5228858090982,217
2007,3,2007-03-09,63.4458475649484,9.70508152939543,147
2007,4,2007-04-05,66.9737873081269,9.7219811801405,110
2007,11,2006-11-16,55.8156585820168,6.31382417289021,11
2007,12,2006-12-18,56.2303893595448,8.91932764266894,12
2008,1,2008-01-09,54.3578846729736,10.1809174871039,175
2008,2,2008-02-04,63.3498039340768,9.48836018263041,47
2008,3,2008-03-10,66.9754156696679,11.5253238928176,77
2008,4,2008-04-10,63.3085761527398,16.546637648286,28
2008,11,2007-11-15,52.8028964164633,8.90301683693819,9
2008,12,2007-12-12,54.9835234393791,10.1028042960962,39
2009,1,2009-01-14,66.6047728488989,10.7966882488387,595
2009,2,2009-02-13,61.0578440514121,10.5926047639793,80
2009,3,2009-03-18,64.174170576456,12.2193454611408,80
2009,4,2009-04-15,64.4229292839595,15.4852369450371,39
2009,11,2008-11-07,49.4078693601471,6.45697881090798,14
2009,12,2008-12-16,50.0336683067479,3.57902817145481,13
2010,1,2010-01-14,59.9352613751819,11.9126449683173,160
2010,2,2010-02-11,63.6031420379197,11.5074207024724,86
2010,3,2010-03-10,66.9630596339452,12.2447038474954,130
2010,4,2010-04-07,68.8669148550284,8.77825964943844,137
2010,11,2009-11-18,52.911291586216,2.85172586892378,51
2010,12,2009-12-16,53.5750967090476,5.85837523076716,50
2011,1,2011-01-12,65.3612923203182,11.5151879152298,215
2011,2,2011-02-10,66.2955807589723,8.0688024271106,159
2011,3,2011-03-10,67.3217420599068,14.2402725587643,125
2011,4,2011-04-06,69.6673629031369,12.5758466319786,81
2011,11,2010-11-22,53.6860010368969,4.11154168350909,25
2011,12,2010-12-13,55.2007824979524,4.79193075574796,128
2012,1,2012-01-19,61.9624716528931,9.47230700715831,433
2012,2,2012-02-15,60.7741070964127,10.4486674746035,352
2012,3,2012-03-08,64.3524096988654,14.7259977731092,462
2012,4,2012-04-05,64.4211563420949,12.9912236864624,305
2012,11,2011-11-15,64.3949417482632,11.6116752181625,80
2012,12,2011-12-12,53.2101526706281,7.69511505936502,340
2013,1,2013-01-09,62.4452553906823,12.4975898905008,157
2013,2,2013-02-06,65.2462492169588,9.52098838217378,181
2013,3,2013-03-06,59.0611201535747,13.5861528511664,103
2013,4,2013-04-04,53.9026066718412,14.4896189048349,40
2013,11,2012-11-15,49.8788985588557,9.92778281488166,77
2013,12,2012-12-07,56.152176156527,6.72662427334443,79
2014,1,2014-01-16,59.6602581389455,9.97074589305601,200
2014,2,2014-02-12,62.9574038445204,18.1745495334803,92
2014,3,2014-03-12,73.8317387546413,16.1890537986735,135
2014,4,2014-04-08,67.0453941182359,15.4447592028549,49
2014,11,2013-11-07,53.1910151909461,12.5496866234218,21
2014,12,2013-12-14,53.4795688144717,5.81303402652257,70
2015,1,2015-01-14,55.2762467271039,12.9661237613309,25
2015,2,2015-02-11,54.4557440991305,13.32760743256,78
2015,3,2015-03-11,57.4352571966474,13.017373730561,7
2015,4,2015-04-07,60.1757641801018,17.196359439822,2
2015,12,2014-12-17,51.6153488691349,10.0356654707963,50
2016,1,2016-01-13,51.632597784841,10.373812218517,9
2016,2,2016-02-10,55.3659202398184,10.9274333288836,7
2016,3,2016-03-09,69.8124811849812,8.9251815117364,8
2016,4,2016-04-04,72.3354265517212,0,13
2016,12,2015-12-15,65.9683702508248,12.6825077520415,9
2017,1,2017-01-11,52.743133654944,17.236631752581,84
2017,2,2017-02-09,61.1759438706057,13.5056711206641,60
2017,3,2017-03-08,56.9406627780601,15.6414266576326,43
2017,4,2017-04-05,62.8944114381314,10.0929310944383,8
2017,11,2016-11-07,46.715526030071,1.87452686187724,9
2017,12,2016-12-08,50.2134699702408,7.13695460639446,274
2018,1,2018-01-10,60.7304751823198,15.7704210073649,20
2018,2,2018-02-08,63.1206863582258,16.1965488071231,7
2018,3,2018-03-14,69.7813005618483,17.3398643955375,6
2018,11,2017-11-27,59.282375381486,10.7168519452943,4
2018,12,2017-12-13,54.2796662258618,10.5918830378615,8
2019,1,2019-01-26,62.4450787421039,15.1331796722043,18
2019,2,2019-02-16,66.2023719706673,11.8334897670271,8
2019,3,2019-03-03,53.4999676121076,NA,1
2019,11,2018-11-07,76.2167544426338,15.4007382419106,11
2019,12,2018-12-12,66.7389775625687,15.0588322155976,17
2020,1,2020-01-15,49.3583425792583,4.86575542671205,4
2020,2,2020-02-12,63.1725494988057,17.0567846161933,3
2020,3,2020-03-10,80.4143718831847,4.01035310403525,2
2020,11,2019-11-12,58.2460086726927,15.9454143529652,3
2020,12,2019-12-18,61.001005883404,13.7883905682053,8
2021,1,2021-01-06,94.086737174772,NA,1
2021,11,2020-11-09,76.154524513542,NA,1
