"WY","Month","Count_Sal","Sal_surf_mean","Sal_surf_sd","Date_median_sal","Sal_min","Sal_max","Survey_mostcommon_sal","Date_median","FirstFlush_firstDate","FirstFlush_medianDate","FirstFlushOccurred","Year","SAC","SJR","TOT","YOLO","EXPORTS","OUT","X2","mean_OMR","DateMonth","SAC_1","SJR_1","TOT_1","YOLO_1","EXPORTS_1","OUT_1","X2_1","Secchi_South","Secchi_West"
1976,11,67,0.957437185876405,0.79419140218899,"1975-11-13",0.0533981658518314,3.01241087913513,"FMWT",1975-11-13,1975-11-25,1975-12-08,"No",1975,22250,3906,27058.9666666667,12.7,8009.43333333333,17921.1333333333,70.4997963753333,-5101.17945124681,1975-11-01,19174.1935483871,4543.22580645161,24646.7741935484,17.6129032258065,7560.09677419355,16900.935483871,72.3299388419355,59.125,37.2926829268293
1976,12,80,0.861703747371212,0.955536382909596,"1975-12-16",0.0500452369451523,5.90042161941528,"FMWT",1975-12-16,1975-11-25,1975-12-08,"Yes",1975,25545.1612903226,3744.83870967742,29673.8709677419,40.3225806451613,7819.35483870968,19953.8709677419,68.6271529141935,-4570.19882560829,1975-12-01,22250,3906,27058.9666666667,12.7,8009.43333333333,17921.1333333333,70.4997963753333,72.2,47.4634146341463
1977,1,82,4.18620832046358,4.30907716644137,"1977-01-14",0.139483153820038,13.2447261810303,"FMWT",1977-01-14,NA,NA,"No",1977,9801.61290322581,1090.77419354839,10945.935483871,2.54838709677419,7044.45161290323,4362.61290322581,86.6837333993548,-7846.23781125271,1977-01-01,7742.90322580645,964.838709677419,8766.93548387097,1.12903225806452,2783.45161290323,4213.06451612903,88.5246706932258,60.0769230769231,49.7948717948718
1977,11,77,1.94021272252906,2.7121059840816,"1976-11-24",0.156966492533684,17.6218757629395,"FMWT",1976-11-24,NA,NA,"No",1976,7823.33333333333,1136,9059.13333333333,6.23333333333333,4243.9,3643.43333333333,89.3020949183333,-5101.17945124681,1976-11-01,8102.90322580645,1273.54838709677,9405.48387096774,1,4617.83870967742,3611.48387096774,88.9509433712903,65.6153846153846,57.7755101894846
1978,1,95,1.24878664542186,1.04296625436507,"1978-01-13",0.0821363255381584,5.17964124679565,"FMWT",1978-01-13,1978-01-07,1978-03-06,"Yes",1978,45490.3225806452,2275.67741935484,70897.1612903226,18700.9677419355,9858.90322580645,66157.0322580645,70.0067245087097,-7846.23781125271,1978-01-01,11745.4838709677,505.741935483871,12525.7096774194,0,5830.77419354839,8569.87096774194,89.1853869835484,20.3571428571429,15.5227272727273
1978,3,29,0.348532307122288,0.658020548801238,"1978-03-13",0.0572290979325771,3.50060868263245,"FMWT",1978-03-13,1978-01-07,1978-03-06,"Yes",1978,55570.9677419355,11474.8387096774,88587.9032258065,18367.9032258065,5843.74193548387,85618.6129032258,55.3329582596774,-4570.19882560829,1978-03-01,44703.5714285714,7318.57142857143,63704.3571428571,8617.53571428571,10309.5357142857,56158.5714285714,60.0650310042857,30.8461538461538,17.1818181818182
1978,11,85,1.66802564263344,1.85514974210506,"1977-11-15",0.253763347864151,6.66146278381348,"FMWT",1977-11-15,1978-01-07,1978-03-06,"No",1977,6687.33333333333,429.7,7151.43333333333,0,2651.16666666667,4003.43333333333,91.0039867063333,-5101.17945124681,1977-11-01,4494.1935483871,246.193548387097,4749.32258064516,0,791.709677419355,2045.90322580645,94.7305485509677,60.1071428571429,63.8333333333333
1978,12,105,3.86910924769583,4.22485549474504,"1977-12-13",0.302559584379196,11.9457721710205,"FMWT",1977-12-13,1978-01-07,1978-03-06,"No",1977,11745.4838709677,505.741935483871,12525.7096774194,0,5830.77419354839,8569.87096774194,89.1853869835484,-4570.19882560829,1977-12-01,6687.33333333333,429.7,7151.43333333333,0,2651.16666666667,4003.43333333333,91.0039867063333,60.3703703703704,62.0769230769231
1979,2,37,1.21497201436275,0.494726325121063,"1979-02-12",0.119168594479561,1.83541810512543,"FMWT",1979-02-12,1979-01-13,1979-02-27,"Yes",1979,32442.8571428571,7137.85714285714,45683.2142857143,1661.60714285714,2938.82142857143,46341.0714285714,66.6602227467857,-5101.17945124681,1979-02-01,23190.3225806452,5233.22580645161,30791,424.935483870968,4103.90322580645,30522.4516129032,71.8701045074194,41.36,28.5
1979,11,26,3.69237941302932,3.61433565893938,"1978-11-20",0.0749471932649612,17.9376182556152,"FMWT",1978-11-20,1979-01-13,1979-02-27,"No",1978,12443.3333333333,3497.66666666667,16414.2,2.93333333333333,5572.66666666667,10928.0666666667,77.516614028,-5101.17945124681,1978-11-01,12487.0967741935,3327.41935483871,16619.6129032258,1.09677419354839,5157.12903225806,9599.96774193548,76.3381575248387,64.8571428571429,28.4651162790698
1979,12,27,3.67386840890955,2.42575109932286,"1978-12-14",0.087412416934967,6.03918504714966,"FMWT",1978-12-14,1979-01-13,1979-02-27,"No",1978,13203.2258064516,2812.25806451613,16334.7096774194,6.96774193548387,6050.67741935484,8779.70967741935,77.0913969332258,-4570.19882560829,1978-12-01,12443.3333333333,3497.66666666667,16414.2,2.93333333333333,5572.66666666667,10928.0666666667,77.516614028,58.0952380952381,30.75
1980,2,1,0.104710571467876,NA,"1980-02-08",0.104710571467876,0.104710571467876,"Bay Study",1980-02-08,1979-12-26,1980-02-19,"Yes",1980,52575.8620689655,18648.275862069,125777.344827586,46505.3103448276,6183.72413793103,121654.793103448,54.0031173641379,-5101.17945124681,1980-02-01,58635.4838709677,13069.0322580645,120990.64516129,40646.0322580645,6368.83870967742,118220.129032258,60.3202989641935,29.4,24.3728812912763
1980,3,4,0.097983168438077,0.009605523198843,"1980-03-11",0.0835748836398125,0.102785930037498,"Bay Study",1980-03-11,1979-12-26,1980-02-19,"Yes",1980,55338.7096774194,25232.2580645161,103281.387096774,17793.1612903226,4359.87096774194,99151.8387096774,48.7861534935484,-4570.19882560829,1980-03-01,52575.8620689655,18648.275862069,125777.344827586,46505.3103448276,6183.72413793103,121654.793103448,54.0031173641379,40.08,27.4117647724993
